iter	RMSE
0	1.860613949
1	1.592880079
2	1.360242963
3	1.196520196
4	1.059127979
5	0.9585734446
6	0.8681553368
7	0.8105610916
8	0.7442388665
9	0.6995583309
10	0.6557140546
11	0.6259711
12	0.5947717922
13	0.5662263638
14	0.5379130721
15	0.5114750402
16	0.4855424909
17	0.4631365339
18	0.4467583795
19	0.4241651062
20	0.414334556
21	0.3947593051
22	0.3784640372
23	0.3667778563
24	0.3501940979
25	0.3403182683
26	0.3250529179
27	0.3163410344
28	0.3038757193
29	0.2932708432
30	0.286229015
31	0.2763784051
32	0.2690718484
33	0.2644418751
34	0.2546024834
35	0.2427734818
36	0.2300632985
37	0.2224713654
38	0.2144698927
39	0.2055439994
40	0.203053684
41	0.1979940581
42	0.1928803913
43	0.1850253659
44	0.1795458859
45	0.1746233038
46	0.1690588469
47	0.1650586373
48	0.1571332473
49	0.1545113012
50	0.1521582292
51	0.1478159807
52	0.1444193371
53	0.1394375019
54	0.1354483606
55	0.1327886784
56	0.1304682294
57	0.1262394153
58	0.1227677531
59	0.1187329567
60	0.1149978217
61	0.1131855012
62	0.1080187592
63	0.1050114253
64	0.1026626494
65	0.09918484138
66	0.09659590277
67	0.09449649227
68	0.09288318736
69	0.09129293042
70	0.08959526286
71	0.08676028852
72	0.08422589704
73	0.08209302655
74	0.08022408697
75	0.07760624809
76	0.07599853833
77	0.07455818346
78	0.0730855932
79	0.07166028784
80	0.07041006147
81	0.06945624403
82	0.06872760206
83	0.0666000041
84	0.06518688341
85	0.06393724802
86	0.06310690905
87	0.06159079348
88	0.06107121127
89	0.0603242268
90	0.05978863295
91	0.05848143652
92	0.05641263053
93	0.05549647528
94	0.05464518271
95	0.0538772163
96	0.05302789465
97	0.05190986622
98	0.05083357792
99	0.04980209091
