iter	Passed	Remaining
0	1	171
1	2	143
2	4	132
3	5	129
4	6	125
5	7	122
6	8	115
7	9	109
8	10	108
9	11	107
10	13	112
11	15	112
12	16	110
13	17	109
14	19	107
15	20	106
16	21	104
17	22	103
18	23	101
19	25	100
20	26	98
21	28	101
22	30	100
23	31	99
24	32	97
25	33	96
26	35	95
27	36	93
28	37	92
29	38	90
30	40	89
31	42	89
32	43	88
33	45	87
34	46	85
35	47	84
36	48	82
37	49	81
38	51	79
39	52	78
40	53	76
41	54	74
42	56	75
43	58	74
44	59	72
45	60	71
46	62	70
47	63	68
48	64	67
49	65	65
50	66	64
51	68	62
52	69	61
53	71	61
54	73	60
55	75	59
56	77	58
57	79	57
58	80	56
59	82	54
60	85	54
61	87	53
62	89	52
63	90	51
64	92	49
65	94	48
66	96	47
67	98	46
68	101	45
69	102	43
70	104	42
71	105	41
72	107	39
73	109	38
74	110	36
75	112	35
76	115	34
77	116	32
78	118	31
79	119	29
80	121	28
81	123	27
82	124	25
83	126	24
84	129	22
85	131	21
86	133	19
87	134	18
88	136	16
89	137	15
90	139	13
91	143	12
92	145	10
93	146	9
94	148	7
95	150	6
96	151	4
97	153	3
98	157	1
99	158	0
