id,project,meeting_number,speaker_number,speech_frequency,total_words,duration,normalized_speech_frequency,speaker_id,next_speaker_id,count,normalized_weight,network_density,weighted_network_density,gini_coefficient,interaction_equality_index,degree_centrality,indegree_centrality,outdegree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank
3_1_SPEAKER_00,3,1,0,22,8731,1.6333333333333333,13.46938775510204,0,0,0,0.0,0.5833333333333334,0.12921142578124994,0.5182291655870226,0.009704203841655712,9.448223733938025e-05,4.724111866969013e-05,4.724111866969013e-05,0.0,9.518792038093826e-08,0.0,2.9079948029975223e-06
3_1_SPEAKER_00,3,1,0,22,8731,1.6333333333333333,13.46938775510204,0,1,1,0.6122448979591837,0.5833333333333334,0.12921142578124994,0.5182291655870226,0.009704203841655712,9.448223733938025e-05,4.724111866969013e-05,4.724111866969013e-05,0.0,9.518792038093826e-08,0.0,2.9079948029975223e-06
3_1_SPEAKER_00,3,1,0,22,8731,1.6333333333333333,13.46938775510204,0,2,0,0.0,0.5833333333333334,0.12921142578124994,0.5182291655870226,0.009704203841655712,9.448223733938025e-05,4.724111866969013e-05,4.724111866969013e-05,0.0,9.518792038093826e-08,0.0,2.9079948029975223e-06
3_1_SPEAKER_00,3,1,0,22,8731,1.6333333333333333,13.46938775510204,0,3,0,0.0,0.5833333333333334,0.12921142578124994,0.5182291655870226,0.009704203841655712,9.448223733938025e-05,4.724111866969013e-05,4.724111866969013e-05,0.0,9.518792038093826e-08,0.0,2.9079948029975223e-06
3_1_SPEAKER_01,3,1,1,645,8731,1.6333333333333333,394.8979591836735,1,0,1,0.6122448979591837,0.5833333333333334,0.12921142578124994,0.5182291655870226,0.009704203841655712,0.16680839002267575,0.08338057445200303,0.08342781557067272,5.144032921810702e-05,9.523587399322086e-08,0.0,3.0076607939111112e-05
3_1_SPEAKER_01,3,1,1,645,8731,1.6333333333333333,394.8979591836735,1,1,0,0.0,0.5833333333333334,0.12921142578124994,0.5182291655870226,0.009704203841655712,0.16680839002267575,0.08338057445200303,0.08342781557067272,5.144032921810702e-05,9.523587399322086e-08,0.0,3.0076607939111112e-05
3_1_SPEAKER_01,3,1,1,645,8731,1.6333333333333333,394.8979591836735,1,2,1,0.6122448979591837,0.5833333333333334,0.12921142578124994,0.5182291655870226,0.009704203841655712,0.16680839002267575,0.08338057445200303,0.08342781557067272,5.144032921810702e-05,9.523587399322086e-08,0.0,3.0076607939111112e-05
3_1_SPEAKER_01,3,1,1,645,8731,1.6333333333333333,394.8979591836735,1,3,42,25.714285714285715,0.5833333333333334,0.12921142578124994,0.5182291655870226,0.009704203841655712,0.16680839002267575,0.08338057445200303,0.08342781557067272,5.144032921810702e-05,9.523587399322086e-08,0.0,3.0076607939111112e-05
3_1_SPEAKER_02,3,1,2,345,8731,1.6333333333333333,211.22448979591837,2,0,0,0.0,0.5833333333333334,0.12921142578124994,0.5182291655870226,0.009704203841655712,0.039777021919879085,0.01894368858654574,0.020833333333333346,2.572016460905351e-05,9.381797016205623e-07,0.0,8.511462775529695e-06
3_1_SPEAKER_02,3,1,2,345,8731,1.6333333333333333,211.22448979591837,2,1,0,0.0,0.5833333333333334,0.12921142578124994,0.5182291655870226,0.009704203841655712,0.039777021919879085,0.01894368858654574,0.020833333333333346,2.572016460905351e-05,9.381797016205623e-07,0.0,8.511462775529695e-06
3_1_SPEAKER_02,3,1,2,345,8731,1.6333333333333333,211.22448979591837,2,2,0,0.0,0.5833333333333334,0.12921142578124994,0.5182291655870226,0.009704203841655712,0.039777021919879085,0.01894368858654574,0.020833333333333346,2.572016460905351e-05,9.381797016205623e-07,0.0,8.511462775529695e-06
