id,project,meeting_number,speaker_number,speech_frequency,total_words,duration,normalized_speech_frequency,speaker_id,next_speaker_id,count,network_density,weighted_network_density,gini_coefficient,interaction_equality_index,degree_centrality,indegree_centrality,outdegree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank
4_1_Speaker SPEAKER_00,4,1,0,1,22,24,0.041666666666666664,0,0,0,0.4,0.4,0.1999999750000031,0.5,4,2,2,0.6666666666666666,0.6666666666666666,0.4029919181287057,0.18321792285811395
4_1_Speaker SPEAKER_00,4,1,0,1,22,24,0.041666666666666664,0,1,0,0.4,0.4,0.1999999750000031,0.5,4,2,2,0.6666666666666666,0.6666666666666666,0.4029919181287057,0.18321792285811395
4_1_Speaker SPEAKER_00,4,1,0,1,22,24,0.041666666666666664,0,2,0,0.4,0.4,0.1999999750000031,0.5,4,2,2,0.6666666666666666,0.6666666666666666,0.4029919181287057,0.18321792285811395
4_1_Speaker SPEAKER_00,4,1,0,1,22,24,0.041666666666666664,0,3,0,0.4,0.4,0.1999999750000031,0.5,4,2,2,0.6666666666666666,0.6666666666666666,0.4029919181287057,0.18321792285811395
4_1_Speaker SPEAKER_00,4,1,0,1,22,24,0.041666666666666664,0,4,1,0.4,0.4,0.1999999750000031,0.5,4,2,2,0.6666666666666666,0.6666666666666666,0.4029919181287057,0.18321792285811395
4_1_Speaker SPEAKER_01,4,1,1,2,22,24,0.08333333333333333,1,0,1,0.4,0.4,0.1999999750000031,0.5,4,2,2,0.5,0.5714285714285714,0.2540175296602318,0.18960274466050478
4_1_Speaker SPEAKER_01,4,1,1,2,22,24,0.08333333333333333,1,1,0,0.4,0.4,0.1999999750000031,0.5,4,2,2,0.5,0.5714285714285714,0.2540175296602318,0.18960274466050478
4_1_Speaker SPEAKER_01,4,1,1,2,22,24,0.08333333333333333,1,2,0,0.4,0.4,0.1999999750000031,0.5,4,2,2,0.5,0.5714285714285714,0.2540175296602318,0.18960274466050478
4_1_Speaker SPEAKER_01,4,1,1,2,22,24,0.08333333333333333,1,3,0,0.4,0.4,0.1999999750000031,0.5,4,2,2,0.5,0.5714285714285714,0.2540175296602318,0.18960274466050478
4_1_Speaker SPEAKER_01,4,1,1,2,22,24,0.08333333333333333,1,4,0,0.4,0.4,0.1999999750000031,0.5,4,2,2,0.5,0.5714285714285714,0.2540175296602318,0.18960274466050478
4_1_Speaker SPEAKER_02,4,1,2,2,22,24,0.08333333333333333,2,0,0,0.4,0.4,0.1999999750000031,0.5,4,2,2,0.0,0.4,0.5145510960870985,0.17849759983171642
4_1_Speaker SPEAKER_02,4,1,2,2,22,24,0.08333333333333333,2,1,0,0.4,0.4,0.1999999750000031,0.5,4,2,2,0.0,0.4,0.5145510960870985,0.17849759983171642
4_1_Speaker SPEAKER_02,4,1,2,2,22,24,0.08333333333333333,2,2,1,0.4,0.4,0.1999999750000031,0.5,4,2,2,0.0,0.4,0.5145510960870985,0.17849759983171642
4_1_Speaker SPEAKER_02,4,1,2,2,22,24,0.08333333333333333,2,3,0,0.4,0.4,0.1999999750000031,0.5,4,2,2,0.0,0.4,0.5145510960870985,0.17849759983171642
4_1_Speaker SPEAKER_02,4,1,2,2,22,24,0.08333333333333333,2,4,0,0.4,0.4,0.1999999750000031,0.5,4,2,2,0.0,0.4,0.5145510960870985,0.17849759983171642
4_1_Speaker SPEAKER_03,4,1,3,7,22,24,0.2916666666666667,3,0,0,0.4,0.4,0.1999999750000031,0.5,4,2,2,0.0,0.4,0.1902272488362771,0.19231639367930523
