id,project,meeting_number,speaker_number,speech_frequency,total_speeches,normalized_speech_frequency,speaker_id,next_speaker_id,count,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,density
3_0_SPEAKER_00,3,1,0,493,556,0.8866906474820144,0,0,461,2.6666666666666665,0.6666666666666666,1.0,0.6072276242789946,0.9166666666666666
3_0_SPEAKER_00,3,1,0,493,556,0.8866906474820144,0,2,20,2.6666666666666665,0.6666666666666666,1.0,0.6072276242789946,0.9166666666666666
3_0_SPEAKER_00,3,1,0,493,556,0.8866906474820144,0,1,11,2.6666666666666665,0.6666666666666666,1.0,0.6072276242789946,0.9166666666666666
3_0_SPEAKER_00,3,1,0,493,556,0.8866906474820144,0,3,1,2.6666666666666665,0.6666666666666666,1.0,0.6072276242789946,0.9166666666666666
3_0_SPEAKER_02,3,1,2,45,556,0.08093525179856115,2,2,20,2.0,0.0,0.75,0.5446429233411564,0.9166666666666666
3_0_SPEAKER_02,3,1,2,45,556,0.08093525179856115,2,0,19,2.0,0.0,0.75,0.5446429233411564,0.9166666666666666
3_0_SPEAKER_02,3,1,2,45,556,0.08093525179856115,2,1,6,2.0,0.0,0.75,0.5446429233411564,0.9166666666666666
3_0_SPEAKER_01,3,1,1,17,556,0.030575539568345324,1,0,11,2.0,0.0,0.75,0.5446429233411564,0.9166666666666666
3_0_SPEAKER_01,3,1,1,17,556,0.030575539568345324,1,2,5,2.0,0.0,0.75,0.5446429233411564,0.9166666666666666
3_0_SPEAKER_01,3,1,1,17,556,0.030575539568345324,1,1,1,2.0,0.0,0.75,0.5446429233411564,0.9166666666666666
3_0_SPEAKER_03,3,1,3,1,556,0.0017985611510791368,3,0,1,0.6666666666666666,0.0,0.6,0.19494302865526283,0.9166666666666666
3_1_SPEAKER_00,3,2,0,389,419,0.9284009546539379,0,0,367,2.6666666666666665,0.8333333333333333,1.0,0.6741345049533729,0.8333333333333334
3_1_SPEAKER_00,3,2,0,389,419,0.9284009546539379,0,3,10,2.6666666666666665,0.8333333333333333,1.0,0.6741345049533729,0.8333333333333334
3_1_SPEAKER_00,3,2,0,389,419,0.9284009546539379,0,1,11,2.6666666666666665,0.8333333333333333,1.0,0.6741345049533729,0.8333333333333334
3_1_SPEAKER_00,3,2,0,389,419,0.9284009546539379,0,2,1,2.6666666666666665,0.8333333333333333,1.0,0.6741345049533729,0.8333333333333334
3_1_SPEAKER_03,3,2,3,16,419,0.03818615751789976,3,0,9,1.6666666666666665,0.0,0.6,0.37682775197850826,0.8333333333333334
3_1_SPEAKER_03,3,2,3,16,419,0.03818615751789976,3,3,6,1.6666666666666665,0.0,0.6,0.37682775197850826,0.8333333333333334
3_1_SPEAKER_03,3,2,3,16,419,0.03818615751789976,3,1,1,1.6666666666666665,0.0,0.6,0.37682775197850826,0.8333333333333334
3_1_SPEAKER_01,3,2,1,13,419,0.031026252983293555,1,0,12,1.6666666666666665,0.0,0.75,0.5874673751345233,0.8333333333333334
3_1_SPEAKER_01,3,2,1,13,419,0.031026252983293555,1,1,1,1.6666666666666665,0.0,0.75,0.5874673751345233,0.8333333333333334
3_1_SPEAKER_02,3,2,2,1,419,0.002386634844868735,2,0,1,0.6666666666666666,0.0,0.6,0.24171387573461314,0.8333333333333334
3_2_SPEAKER_00,3,3,0,382,435,0.8781609195402299,0,0,356,2.6666666666666665,0.5833333333333333,1.0,0.669529400316285,0.9166666666666666
3_2_SPEAKER_00,3,3,0,382,435,0.8781609195402299,0,2,14,2.6666666666666665,0.5833333333333333,1.0,0.669529400316285,0.9166666666666666
3_2_SPEAKER_00,3,3,0,382,435,0.8781609195402299,0,1,4,2.6666666666666665,0.5833333333333333,1.0,0.669529400316285,0.9166666666666666
3_2_SPEAKER_00,3,3,0,382,435,0.8781609195402299,0,3,8,2.6666666666666665,0.5833333333333333,1.0,0.669529400316285,0.9166666666666666
3_2_SPEAKER_02,3,3,2,35,435,0.08045977011494253,2,1,1,1.6666666666666665,0.0,0.6,0.35624992811800577,0.9166666666666666
3_2_SPEAKER_02,3,3,2,35,435,0.08045977011494253,2,0,13,1.6666666666666665,0.0,0.6,0.35624992811800577,0.9166666666666666
3_2_SPEAKER_02,3,3,2,35,435,0.08045977011494253,2,2,21,1.6666666666666665,0.0,0.6,0.35624992811800577,0.9166666666666666
3_2_SPEAKER_03,3,3,3,13,435,0.029885057471264367,3,3,4,1.6666666666666665,0.0,0.75,0.545804323493271,0.9166666666666666
3_2_SPEAKER_03,3,3,3,13,435,0.029885057471264367,3,0,9,1.6666666666666665,0.0,0.75,0.545804323493271,0.9166666666666666
3_2_SPEAKER_01,3,3,1,5,435,0.011494252873563218,1,0,3,1.3333333333333333,0.08333333333333333,0.75,0.35624992811800577,0.9166666666666666
3_2_SPEAKER_01,3,3,1,5,435,0.011494252873563218,1,3,2,1.3333333333333333,0.08333333333333333,0.75,0.35624992811800577,0.9166666666666666
3_3_SPEAKER_00,3,4,0,381,469,0.8123667377398721,0,0,328,2.6666666666666665,0.3333333333333333,1.0,0.5773499640536679,1.1666666666666667
3_3_SPEAKER_00,3,4,0,381,469,0.8123667377398721,0,3,13,2.6666666666666665,0.3333333333333333,1.0,0.5773499640536679,1.1666666666666667
3_3_SPEAKER_00,3,4,0,381,469,0.8123667377398721,0,1,27,2.6666666666666665,0.3333333333333333,1.0,0.5773499640536679,1.1666666666666667
3_3_SPEAKER_00,3,4,0,381,469,0.8123667377398721,0,2,13,2.6666666666666665,0.3333333333333333,1.0,0.5773499640536679,1.1666666666666667
3_3_SPEAKER_01,3,4,1,44,469,0.09381663113006397,1,0,26,2.333333333333333,0.0,0.75,0.408248721990931,1.1666666666666667
3_3_SPEAKER_01,3,4,1,44,469,0.09381663113006397,1,1,15,2.333333333333333,0.0,0.75,0.408248721990931,1.1666666666666667
3_3_SPEAKER_01,3,4,1,44,469,0.09381663113006397,1,2,2,2.333333333333333,0.0,0.75,0.408248721990931,1.1666666666666667
3_3_SPEAKER_01,3,4,1,44,469,0.09381663113006397,1,3,1,2.333333333333333,0.0,0.75,0.408248721990931,1.1666666666666667
3_3_SPEAKER_02,3,4,2,28,469,0.05970149253731343,2,0,16,2.0,0.0,1.0,0.5773499640536679,1.1666666666666667
3_3_SPEAKER_02,3,4,2,28,469,0.05970149253731343,2,2,12,2.0,0.0,1.0,0.5773499640536679,1.1666666666666667
3_3_SPEAKER_03,3,4,3,16,469,0.03411513859275053,3,0,11,2.333333333333333,0.0,0.75,0.408248721990931,1.1666666666666667
3_3_SPEAKER_03,3,4,3,16,469,0.03411513859275053,3,1,2,2.333333333333333,0.0,0.75,0.408248721990931,1.1666666666666667
3_3_SPEAKER_03,3,4,3,16,469,0.03411513859275053,3,3,2,2.333333333333333,0.0,0.75,0.408248721990931,1.1666666666666667
3_3_SPEAKER_03,3,4,3,16,469,0.03411513859275053,3,2,1,2.333333333333333,0.0,0.75,0.408248721990931,1.1666666666666667
3_4_SPEAKER_00,3,5,0,154,187,0.8235294117647058,0,0,139,2.6666666666666665,0.16666666666666666,1.0,0.6011028260206676,1.0833333333333333
3_4_SPEAKER_00,3,5,0,154,187,0.8235294117647058,0,2,5,2.6666666666666665,0.16666666666666666,1.0,0.6011028260206676,1.0833333333333333
3_4_SPEAKER_00,3,5,0,154,187,0.8235294117647058,0,1,6,2.6666666666666665,0.16666666666666666,1.0,0.6011028260206676,1.0833333333333333
3_4_SPEAKER_00,3,5,0,154,187,0.8235294117647058,0,3,4,2.6666666666666665,0.16666666666666666,1.0,0.6011028260206676,1.0833333333333333
3_4_SPEAKER_03,3,5,3,15,187,0.08021390374331551,3,0,5,2.0,0.0,0.75,0.46140199123611897,1.0833333333333333
3_4_SPEAKER_03,3,5,3,15,187,0.08021390374331551,3,3,8,2.0,0.0,0.75,0.46140199123611897,1.0833333333333333
3_4_SPEAKER_03,3,5,3,15,187,0.08021390374331551,3,2,2,2.0,0.0,0.75,0.46140199123611897,1.0833333333333333
3_4_SPEAKER_01,3,5,1,10,187,0.053475935828877004,1,0,7,2.0,0.0,0.75,0.46140199123611897,1.0833333333333333
3_4_SPEAKER_01,3,5,1,10,187,0.053475935828877004,1,2,1,2.0,0.0,0.75,0.46140199123611897,1.0833333333333333
3_4_SPEAKER_01,3,5,1,10,187,0.053475935828877004,1,1,2,2.0,0.0,0.75,0.46140199123611897,1.0833333333333333
3_4_SPEAKER_02,3,5,2,8,187,0.0427807486631016,2,1,2,2.0,0.16666666666666666,1.0,0.46140199123611897,1.0833333333333333
3_4_SPEAKER_02,3,5,2,8,187,0.0427807486631016,2,0,4,2.0,0.16666666666666666,1.0,0.46140199123611897,1.0833333333333333
3_4_SPEAKER_02,3,5,2,8,187,0.0427807486631016,2,3,2,2.0,0.16666666666666666,1.0,0.46140199123611897,1.0833333333333333
4_0_SPEAKER_03,4,1,3,526,737,0.7137042062415196,3,3,458,2.5,0.19444444444444442,1.0,0.5405700983009744,1.0
4_0_SPEAKER_03,4,1,3,526,737,0.7137042062415196,3,0,31,2.5,0.19444444444444442,1.0,0.5405700983009744,1.0
4_0_SPEAKER_03,4,1,3,526,737,0.7137042062415196,3,1,16,2.5,0.19444444444444442,1.0,0.5405700983009744,1.0
4_0_SPEAKER_03,4,1,3,526,737,0.7137042062415196,3,2,18,2.5,0.19444444444444442,1.0,0.5405700983009744,1.0
4_0_SPEAKER_03,4,1,3,526,737,0.7137042062415196,3,4,3,2.5,0.19444444444444442,1.0,0.5405700983009744,1.0
4_0_SPEAKER_00,4,1,0,68,737,0.09226594301221167,0,0,30,2.25,0.16666666666666666,1.0,0.5405700983009744,1.0
4_0_SPEAKER_00,4,1,0,68,737,0.09226594301221167,0,3,31,2.25,0.16666666666666666,1.0,0.5405700983009744,1.0
4_0_SPEAKER_00,4,1,0,68,737,0.09226594301221167,0,1,5,2.25,0.16666666666666666,1.0,0.5405700983009744,1.0
4_0_SPEAKER_00,4,1,0,68,737,0.09226594301221167,0,4,2,2.25,0.16666666666666666,1.0,0.5405700983009744,1.0
4_0_SPEAKER_02,4,1,2,66,737,0.08955223880597014,2,2,46,1.75,0.0,0.8,0.40744573040980736,1.0
4_0_SPEAKER_02,4,1,2,66,737,0.08955223880597014,2,3,15,1.75,0.0,0.8,0.40744573040980736,1.0
4_0_SPEAKER_02,4,1,2,66,737,0.08955223880597014,2,0,5,1.75,0.0,0.8,0.40744573040980736,1.0
4_0_SPEAKER_01,4,1,1,64,737,0.08683853459972862,1,1,43,1.75,0.027777777777777776,0.6666666666666666,0.3532392350918626,1.0
4_0_SPEAKER_01,4,1,1,64,737,0.08683853459972862,1,3,19,1.75,0.027777777777777776,0.6666666666666666,0.3532392350918626,1.0
4_0_SPEAKER_01,4,1,1,64,737,0.08683853459972862,1,2,1,1.75,0.027777777777777776,0.6666666666666666,0.3532392350918626,1.0
4_0_SPEAKER_01,4,1,1,64,737,0.08683853459972862,1,0,1,1.75,0.027777777777777776,0.6666666666666666,0.3532392350918626,1.0
4_0_SPEAKER_04,4,1,4,13,737,0.017639077340569877,4,4,8,1.75,0.027777777777777776,0.6666666666666666,0.3532392350918626,1.0
4_0_SPEAKER_04,4,1,4,13,737,0.017639077340569877,4,3,3,1.75,0.027777777777777776,0.6666666666666666,0.3532392350918626,1.0
4_0_SPEAKER_04,4,1,4,13,737,0.017639077340569877,4,0,1,1.75,0.027777777777777776,0.6666666666666666,0.3532392350918626,1.0
4_0_SPEAKER_04,4,1,4,13,737,0.017639077340569877,4,2,1,1.75,0.027777777777777776,0.6666666666666666,0.3532392350918626,1.0
4_1_SPEAKER_03,4,2,3,550,777,0.7078507078507078,3,3,469,2.5,0.027777777777777776,1.0,0.46493337947259783,1.2
4_1_SPEAKER_03,4,2,3,550,777,0.7078507078507078,3,4,15,2.5,0.027777777777777776,1.0,0.46493337947259783,1.2
4_1_SPEAKER_03,4,2,3,550,777,0.7078507078507078,3,1,30,2.5,0.027777777777777776,1.0,0.46493337947259783,1.2
4_1_SPEAKER_03,4,2,3,550,777,0.7078507078507078,3,0,30,2.5,0.027777777777777776,1.0,0.46493337947259783,1.2
4_1_SPEAKER_03,4,2,3,550,777,0.7078507078507078,3,2,6,2.5,0.027777777777777776,1.0,0.46493337947259783,1.2
4_1_SPEAKER_00,4,2,0,95,777,0.12226512226512226,0,3,32,2.5,0.027777777777777776,1.0,0.46493337947259783,1.2
4_1_SPEAKER_00,4,2,0,95,777,0.12226512226512226,0,0,52,2.5,0.027777777777777776,1.0,0.46493337947259783,1.2
4_1_SPEAKER_00,4,2,0,95,777,0.12226512226512226,0,4,3,2.5,0.027777777777777776,1.0,0.46493337947259783,1.2
4_1_SPEAKER_00,4,2,0,95,777,0.12226512226512226,0,2,2,2.5,0.027777777777777776,1.0,0.46493337947259783,1.2
4_1_SPEAKER_00,4,2,0,95,777,0.12226512226512226,0,1,6,2.5,0.027777777777777776,1.0,0.46493337947259783,1.2
4_1_SPEAKER_01,4,2,1,85,777,0.1093951093951094,1,1,45,2.5,0.027777777777777776,1.0,0.46493337947259783,1.2
4_1_SPEAKER_01,4,2,1,85,777,0.1093951093951094,1,3,29,2.5,0.027777777777777776,1.0,0.46493337947259783,1.2
4_1_SPEAKER_01,4,2,1,85,777,0.1093951093951094,1,4,3,2.5,0.027777777777777776,1.0,0.46493337947259783,1.2
4_1_SPEAKER_01,4,2,1,85,777,0.1093951093951094,1,0,6,2.5,0.027777777777777776,1.0,0.46493337947259783,1.2
4_1_SPEAKER_01,4,2,1,85,777,0.1093951093951094,1,2,2,2.5,0.027777777777777776,1.0,0.46493337947259783,1.2
4_1_SPEAKER_04,4,2,4,24,777,0.03088803088803089,4,3,14,2.25,0.0,1.0,0.46493337947259783,1.2
4_1_SPEAKER_04,4,2,4,24,777,0.03088803088803089,4,0,5,2.25,0.0,1.0,0.46493337947259783,1.2
4_1_SPEAKER_04,4,2,4,24,777,0.03088803088803089,4,1,3,2.25,0.0,1.0,0.46493337947259783,1.2
4_1_SPEAKER_04,4,2,4,24,777,0.03088803088803089,4,4,2,2.25,0.0,1.0,0.46493337947259783,1.2
4_1_SPEAKER_02,4,2,2,23,777,0.029601029601029602,2,3,5,2.25,0.0,0.8,0.36789646724147484,1.2
4_1_SPEAKER_02,4,2,2,23,777,0.029601029601029602,2,2,14,2.25,0.0,0.8,0.36789646724147484,1.2
4_1_SPEAKER_02,4,2,2,23,777,0.029601029601029602,2,0,2,2.25,0.0,0.8,0.36789646724147484,1.2
4_1_SPEAKER_02,4,2,2,23,777,0.029601029601029602,2,4,1,2.25,0.0,0.8,0.36789646724147484,1.2
4_1_SPEAKER_02,4,2,2,23,777,0.029601029601029602,2,1,1,2.25,0.0,0.8,0.36789646724147484,1.2
4_2_SPEAKER_03,4,3,3,340,689,0.4934687953555878,3,3,243,2.5,0.05555555555555555,1.0,0.48208891755528427,1.15
4_2_SPEAKER_03,4,3,3,340,689,0.4934687953555878,3,1,27,2.5,0.05555555555555555,1.0,0.48208891755528427,1.15
4_2_SPEAKER_03,4,3,3,340,689,0.4934687953555878,3,4,24,2.5,0.05555555555555555,1.0,0.48208891755528427,1.15
4_2_SPEAKER_03,4,3,3,340,689,0.4934687953555878,3,0,27,2.5,0.05555555555555555,1.0,0.48208891755528427,1.15
4_2_SPEAKER_03,4,3,3,340,689,0.4934687953555878,3,2,19,2.5,0.05555555555555555,1.0,0.48208891755528427,1.15
4_2_SPEAKER_01,4,3,1,119,689,0.17271407837445574,1,3,25,2.25,0.027777777777777776,0.8,0.4002430230357327,1.15
4_2_SPEAKER_01,4,3,1,119,689,0.17271407837445574,1,0,16,2.25,0.027777777777777776,0.8,0.4002430230357327,1.15
